ID,SMILES,NaClg/L,IE,TempK,Concentrationg/L
10074.0,CCCC[NH2+]CCC(=O)[O-],2.587,0.9551999999999999,298.0,0.1
10075.0,COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],30.0,0.769,333.0,0.025
10076.0,COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],30.0,0.875,333.0,0.05
10077.0,COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],30.0,0.89,333.0,0.075
10078.0,COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],30.0,0.912,333.0,0.1
10079.0,COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],30.0,0.976,333.0,0.15
10080.0,COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],30.0,0.9940000000000001,333.0,0.2
10081.0,c3cc[n+](Cc1cccc2ccccc12)cc3.[Cl-],30.0,0.449,333.0,0.0511496
10082.0,NC(N)=S,30.0,0.5539999999999999,333.0,0.0152248
10083.0,c4ccc3c(C[n+]2cccc1ccccc12)cccc3c4.[Cl-],30.0,0.59,333.0,0.0611616
10084.0,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCN,2.587,0.8967,333.0,0.06
10085.0,OC(CS)C(O)CS,2.587,0.8597,333.0,0.06
10086.0,CCCCC(=O)N(Cc3ccc(c2ccc(c1nnn[nH]1)cc2)cc3)C(C(=O)O)C(C)C,28.2,0.5995,333.0,0.05
10087.0,CCCCC(=O)N(Cc3ccc(c2ccc(c1nnn[nH]1)cc2)cc3)C(C(=O)O)C(C)C,28.2,0.753,333.0,0.1
10088.0,CCCCC(=O)N(Cc3ccc(c2ccc(c1nnn[nH]1)cc2)cc3)C(C(=O)O)C(C)C,28.2,0.8545,333.0,0.2
10089.0,CCCCC(=O)N(Cc3ccc(c2ccc(c1nnn[nH]1)cc2)cc3)C(C(=O)O)C(C)C,28.2,0.9035,333.0,0.4
10090.0,CCO/C2=C/C1/C=C\C=C(C(=O)O)/C1N2Cc5ccc(c4ccc(c3nnn[nH]3)cc4)cc5,28.2,0.7945,333.0,0.05
10091.0,CCO/C2=C/C1/C=C\C=C(C(=O)O)/C1N2Cc5ccc(c4ccc(c3nnn[nH]3)cc4)cc5,28.2,0.84,333.0,0.1
10092.0,CCO/C2=C/C1/C=C\C=C(C(=O)O)/C1N2Cc5ccc(c4ccc(c3nnn[nH]3)cc4)cc5,28.2,0.8935,333.0,0.2
10093.0,CCO/C2=C/C1/C=C\C=C(C(=O)O)/C1N2Cc5ccc(c4ccc(c3nnn[nH]3)cc4)cc5,28.2,0.9329999999999999,333.0,0.4
10094.0,SCc1ccco1,35.0,0.774,333.0,0.001
10095.0,SCc1ccco1,35.0,0.9,333.0,0.0025
10096.0,SCc1ccco1,35.0,0.9109999999999999,333.0,0.005
10097.0,SCc1ccco1,35.0,0.96,333.0,0.0075
10098.0,SCc1ccco1,35.0,0.9590000000000001,333.0,0.01
10099.0,c2coc(CSSCc1ccco1)c2,35.0,0.9590000000000001,333.0,0.001
10100.0,c2coc(CSSCc1ccco1)c2,35.0,0.978,333.0,0.0025
10101.0,c2coc(CSSCc1ccco1)c2,35.0,0.982,333.0,0.005
10102.0,c2coc(CSSCc1ccco1)c2,35.0,0.9840000000000001,333.0,0.0075
10103.0,c2coc(CSSCc1ccco1)c2,35.0,0.991,333.0,0.01
10104.0,O=C(O)[C@@H]2CSC(c1ccccc1)N2,62.36,0.9679000000000001,333.0,0.020927000000000008
10105.0,O=C(O)[C@@H]2CSC(c1ccccc1)N2,62.36,0.9725,333.0,0.041854000000000016
10106.0,O=C(O)[C@@H]2CSC(c1ccccc1)N2,62.36,0.983,333.0,0.08370800000000003
10107.0,O=C(O)[C@@H]2CSC(c1ccccc1)N2,62.36,0.9892,333.0,0.16741600000000006
10108.0,O=C(O)[C@@H]2CSC(c1cccs1)N2,62.36,0.9825,333.0,0.021529900000000008
10109.0,O=C(O)[C@@H]2CSC(c1cccs1)N2,62.36,0.9878,333.0,0.043059800000000016
10110.0,O=C(O)[C@@H]2CSC(c1cccs1)N2,62.36,0.9926999999999999,333.0,0.08611960000000003
10111.0,O=C(O)[C@@H]2CSC(c1cccs1)N2,62.36,0.9958,333.0,0.17223920000000006
10112.0,CC1N2CCN1[Co]N7CCN([Co]N6CCN([Co]N5CCN([Co]N4CCN([Co]N3CCN([Co]2)C3C)C4C)C5C)C6C)C7C,35.0,0.76,298.0,0.125
10113.0,CC1N2CCN1[Co]N7CCN([Co]N6CCN([Co]N5CCN([Co]N4CCN([Co]N3CCN([Co]2)C3C)C4C)C5C)C6C)C7C,35.0,0.83,298.0,0.25
10114.0,CC1N2CCN1[Co]N7CCN([Co]N6CCN([Co]N5CCN([Co]N4CCN([Co]N3CCN([Co]2)C3C)C4C)C5C)C6C)C7C,35.0,0.9,298.0,0.5
10115.0,CC1N2CCN1[Co]N7CCN([Co]N6CCN([Co]N5CCN([Co]N4CCN([Co]N3CCN([Co]2)C3C)C4C)C5C)C6C)C7C,35.0,0.92,298.0,0.75
10116.0,CC1N2CCN1[Co]N7CCN([Co]N6CCN([Co]N5CCN([Co]N4CCN([Co]N3CCN([Co]2)C3C)C4C)C5C)C6C)C7C,35.0,0.97,298.0,1.0
10118.0,CN(C)c3ccc(C2NC(=S)Nc1[nH]c(=S)[nH]c(=O)c12)cc3,35.0,0.96,298.0,0.005
10119.0,CN(C)c3ccc(C2NC(=S)Nc1[nH]c(=S)[nH]c(=O)c12)cc3,35.0,0.97,298.0,0.01
10120.0,CN(C)c3ccc(C2NC(=S)Nc1[nH]c(=S)[nH]c(=O)c12)cc3,35.0,0.98,298.0,0.05
10121.0,CN(C)c3ccc(C2NC(=S)Nc1[nH]c(=S)[nH]c(=O)c12)cc3,35.0,0.55,298.0,0.005
