ID,NaClg/L,TempK,Concentrationg/L
10090,28.2,333,0.05
10091,28.2,333,0.1
10092,28.2,333,0.2
10093,28.2,333,0.4
10094,35,333,0.001
10095,35,333,0.0025
10096,35,333,0.005
10097,35,333,0.0075
10098,35,333,0.01
10099,35,333,0.001
10100,35,333,0.0025
10101,35,333,0.005
10102,35,333,0.0075
10103,35,333,0.01
10104,62.36,333,0.020927
10105,62.36,333,0.041854
10106,62.36,333,0.083708
10107,62.36,333,0.167416
10108,62.36,333,0.0215299
10109,62.36,333,0.0430598
10110,62.36,333,0.0861196
10111,62.36,333,0.1722392
10112,35,298,0.125
10113,35,298,0.25
10114,35,298,0.5
10115,35,298,0.75
10116,35,298,1
10118,35,298,0.005
10119,35,298,0.01
10120,35,298,0.05
10121,35,298,0.005
10122,35,298,0.01
10123,35,298,0.05
10124,9.945,343,0.150206
10125,9.945,343,0.450618
10126,9.945,343,0.129188
10127,9.945,343,0.387564
10128,35,323,0.000300271
10129,35,323,0.001501355
10130,35,323,0.00300271
10131,35,323,0.01501355
10132,35,323,0.0300271
10133,35,323,0.1501355
10134,35,323,0.000520452
10135,35,323,0.00260226
10136,35,323,0.00520452
10137,35,323,0.0260226
10138,35,323,0.0520452
10139,35,323,0.260226
10140,35,323,0.000554897
10141,35,323,0.002774485
10142,35,323,0.00554897
10143,35,323,0.02774485
10144,35,323,0.0554897
10145,35,323,0.2774485
10146,30,293,0.1
10147,30,293,0.2
10148,30,293,0.4
10149,30,293,0.7
10150,30,293,1
10151,30,293,0.1
10152,30,293,0.2
10153,30,293,0.4
10154,30,293,0.7
10155,30,293,1
10156,50,333,0.05
10157,50,333,0.1
10158,50,333,0.3
10159,50,333,0.5
10160,24.53,298,0.1
10161,24.53,298,0.25
10162,24.53,298,0.5
10163,24.53,298,1
10164,24.53,298,0.1
10165,24.53,298,0.25
10166,24.53,298,0.5
10167,24.53,298,1
10168,24.53,298,0.1
10169,24.53,298,0.25
10170,24.53,298,0.5
10171,24.53,298,1
10172,35,333,0.05
10173,35,333,0.05
10174,0.31,333,0.001
10175,0.31,333,0.0025
10176,0.31,333,0.005
10177,0.31,333,0.0075
10178,0.31,333,0.01
10179,0.31,333,0.001
10180,0.31,333,0.0025
10181,0.31,333,0.005
10182,0.31,333,0.0075
10183,0.31,333,0.01
10184,38.58,333,0.00268392
10185,38.58,333,0.0134196
10186,38.58,333,0.0268392
10187,38.58,333,0.0536784
10188,38.58,333,0.1073568
10189,2.587,333,0.025
10190,2.587,333,0.033
10191,2.587,333,0.05
10192,2.587,333,0.066
10193,2.587,333,0.075
10194,2.587,333,0.1
10195,2.587,333,0.025
10196,2.587,333,0.033
10197,2.587,333,0.05
10198,2.587,333,0.066
10199,2.587,333,0.075
10200,2.587,333,0.1
10201,80,333,0.05
10202,80,333,0.1
10203,80,333,0.3
10204,80,333,0.5
10205,80,333,0.05
10206,80,333,0.1
10207,80,333,0.3
10208,80,333,0.5
10209,30,298,0.01
10210,30,298,0.02
10211,30,298,0.05
10212,30,298,0.1
10213,35,328,0.025
10214,35,328,0.05
10215,35,328,0.1
10216,35,328,0.025
10217,35,328,0.05
10218,35,328,0.1
10219,35,338,0.0699214
10220,35,338,0.0156272
10221,0.3276,333,0.2
10222,0.3276,333,0.2
10223,0.3276,333,0.2
10224,0.3276,333,0.2
10225,0.3276,333,0.2
10226,0.3276,333,0.2
10227,2.587,333,0.025
10228,2.587,333,0.05
10229,2.587,333,0.075
10230,2.587,333,0.1
10231,2.587,333,0.15
10232,2.587,333,0.025
10233,2.587,333,0.05
10234,2.587,333,0.075
10235,2.587,333,0.1
10236,2.587,333,0.15
10237,62.36,333,0.00775785
10238,62.36,333,0.0155157
10239,62.36,333,0.0310314
10240,62.36,333,0.0620628
10241,62.36,333,0.0076111
10242,62.36,333,0.0152222
10243,62.36,333,0.0304444
10244,62.36,333,0.0608888
10245,62.36,333,0.0145174
10246,62.36,333,0.0290348
10247,62.36,333,0.0580696
10248,62.36,333,0.1161392
10249,30,298,0.05
10250,62.36,333,0.00775785
10251,62.36,333,0.0155157
10252,62.36,333,0.0310314
10253,62.36,333,0.0620628
10254,62.36,333,0.00605805
10255,62.36,333,0.0121161
10256,62.36,333,0.0242322
10257,62.36,333,0.0484644
10258,62.36,333,0.0038062
10259,62.36,333,0.0076124
10260,62.36,333,0.0152248
10261,62.36,333,0.0304496
10262,58.5,303,0.025
10263,58.5,303,0.05
10264,58.5,303,0.075
10265,58.5,303,0.1
10266,20.573,333,0.01
10267,20.573,333,0.02
10268,20.573,333,0.05
10269,20.573,333,0.1
10270,20.573,333,0.01
10271,20.573,333,0.02
10272,20.573,333,0.05
10273,20.573,333,0.1
10274,30,293,0.005
10275,30,293,0.01
10276,30,293,0.04
10277,30,293,0.07
10278,30,293,0.1
10279,30,293,0.005
10280,30,293,0.01
10281,30,293,0.04
10282,30,293,0.07
10283,30,293,0.1
10284,20.573,353,0.05
10285,20.573,353,0.1
10286,20.573,353,0.2
10287,20.573,353,0.4
10288,35,323,0.1
10289,35,323,0.2
10290,35,323,0.3
10291,35,323,0.4
10292,35,298,0.01
10293,35,298,0.02
10294,35,298,0.05
10295,35,298,0.1
10296,35,313,0.1
10297,35,313,0.1
10298,35,313,0.1
10299,62.36,333,0.0105643
10300,62.36,333,0.0211286
10301,62.36,333,0.0422572
10302,62.36,333,0.0845144
10303,62.36,333,0.0038062
10304,62.36,333,0.0076124
10305,62.36,333,0.0152248
10306,62.36,333,0.0304496
10307,35,298,0.00266382
10308,35,298,0.00665955
10309,35,298,0.01065528
10310,35,298,0.0133191
10311,35,308,0.00266382
10312,35,308,0.00665955
10313,35,308,0.01065528
10314,35,308,0.0133191
10315,35,323,0.00266382
10316,35,323,0.00665955
10317,35,323,0.01065528
10318,35,323,0.0133191
10319,35,353,0.00266382
10320,35,353,0.00665955
10321,35,353,0.01065528
10322,35,353,0.0133191
10327,70,323,0.005
10328,70,323,0.01
10329,70,323,0.02
10330,70,323,0.04
10331,70,323,0.1
10332,62.36,333,0.00238337
10333,62.36,333,0.005958425
10334,62.36,333,0.01191685
10335,62.36,333,0.0238337
10336,62.36,333,0.0476674
10337,62.36,333,0.00328462
10338,62.36,333,0.00821155
10339,62.36,333,0.0164231
10340,62.36,333,0.0328462
10341,62.36,333,0.0656924
10342,62.36,333,0.05
10343,62.36,333,0.1
10344,62.36,333,0.15
10345,62.36,333,0.2
10346,62.36,333,0.25
10347,62.36,333,0.05
10348,62.36,333,0.1
10349,62.36,333,0.15
10350,62.36,333,0.2
10351,62.36,333,0.25
10352,62.36,333,0.00112157
10353,62.36,333,0.002803925
10354,62.36,333,0.00560785
10355,62.36,333,0.0112157
10356,62.36,333,0.0224314
10357,62.36,333,0.00202282
10358,62.36,333,0.00505705
10359,62.36,333,0.0101141
10360,62.36,333,0.0202282
10361,62.36,333,0.0404564
10362,35,333,0.05
10363,35,333,0.05
10364,35,298,0.01
10365,35,298,0.025
10366,35,298,0.05
10367,35,333,0.01
10368,35,333,0.025
10369,35,333,0.05
10370,35,298,0.001
10371,35,298,0.005
10372,35,298,0.01
10373,35,298,0.05
10374,10,323,0.1
10375,10,323,0.2
10376,10,323,0.3
10377,10,323,0.4
10378,10,323,0.5
10379,35,323,0.05
10380,35,323,0.1
