ID,SMILES,IE
10063.0,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],0.9294
10064.0,S=c1[nH]ccc[nH+]1,0.903
10065.0,S=c1[nH]ccc[nH+]1,0.852
10066.0,Cc1cc(=O)[nH]c(=S)[nH]1,0.85
10067.0,Cc1cc(=O)[nH]c(=S)[nH]1,0.505
10068.0,Nc1[nH]c(=S)[nH]c(=S)c1N,0.953
10069.0,Nc1[nH]c(=S)[nH]c(=S)c1N,0.93
10070.0,CCCC[NH2+]CCC(=O)[O-],0.5966
10071.0,CCCC[NH2+]CCC(=O)[O-],0.7256
10072.0,CCCC[NH2+]CCC(=O)[O-],0.905
10073.0,CCCC[NH2+]CCC(=O)[O-],0.9423
10074.0,CCCC[NH2+]CCC(=O)[O-],0.9551999999999999
10075.0,COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],0.769
10076.0,COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],0.875
10077.0,COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],0.89
10078.0,COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],0.912
10079.0,COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],0.976
10080.0,COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],0.9940000000000001
10081.0,c3cc[n+](Cc1cccc2ccccc12)cc3.[Cl-],0.449
10082.0,NC(N)=S,0.5539999999999999
10083.0,c4ccc3c(C[n+]2cccc1ccccc12)cccc3c4.[Cl-],0.59
10084.0,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCN,0.8967
10085.0,OC(CS)C(O)CS,0.8597
10086.0,CCCCC(=O)N(Cc3ccc(c2ccc(c1nnn[nH]1)cc2)cc3)C(C(=O)O)C(C)C,0.5995
10087.0,CCCCC(=O)N(Cc3ccc(c2ccc(c1nnn[nH]1)cc2)cc3)C(C(=O)O)C(C)C,0.753
10088.0,CCCCC(=O)N(Cc3ccc(c2ccc(c1nnn[nH]1)cc2)cc3)C(C(=O)O)C(C)C,0.8545
10089.0,CCCCC(=O)N(Cc3ccc(c2ccc(c1nnn[nH]1)cc2)cc3)C(C(=O)O)C(C)C,0.9035
10090.0,CCO/C2=C/C1/C=C\C=C(C(=O)O)/C1N2Cc5ccc(c4ccc(c3nnn[nH]3)cc4)cc5,0.7945
10091.0,CCO/C2=C/C1/C=C\C=C(C(=O)O)/C1N2Cc5ccc(c4ccc(c3nnn[nH]3)cc4)cc5,0.84
10092.0,CCO/C2=C/C1/C=C\C=C(C(=O)O)/C1N2Cc5ccc(c4ccc(c3nnn[nH]3)cc4)cc5,0.8935
10093.0,CCO/C2=C/C1/C=C\C=C(C(=O)O)/C1N2Cc5ccc(c4ccc(c3nnn[nH]3)cc4)cc5,0.9329999999999999
10094.0,SCc1ccco1,0.774
10095.0,SCc1ccco1,0.9
10096.0,SCc1ccco1,0.9109999999999999
10097.0,SCc1ccco1,0.96
10098.0,SCc1ccco1,0.9590000000000001
